opeid6,level,sector,hbcu,completion_rate_150,share_outstanding_ug_5,cdr3_wgtd,pct25_earn_wne_p10,est_fte,white_share,black_share,hisp_share,asian_share,aian_share,nhpi_share,twomore_share,nra_share,unkn_share
1002,Four-year,Public 4-year,1,.2685,1.29550075699016,.1365546,17800,5943,.0186,.912,.0088,.0018,.0022,.0016,.0118,.007,.0361
1003,Four-year,Nonprofit 4-year,0,.27939999,1.18266286835312,.07485,21300,2702,.4238,.481,.0178,.0053,.0024,.0038,.0221,.0241,.0197
1004,Four-year,Public 4-year,0,.49169999,1.06466005187366,.0416684,20400,2369,.6726,.1666,.0542,.0107,.0036,.0018,.0391,.0275,.024
1005,Four-year,Public 4-year,1,.3001,1.30739154866216,.15925349,15600,4234,.0167,.9352000000000001,.0095,.0041,.0013,.0005,.0102,.0102,.0123
1007,Two-year,Public 2-year,0,.2832,1.15403112534675,.041238401,16100,1165,.725,.2337,.0239,.0041,.0041,0,.0058,.0017,.0017
1009,Four-year,Public 4-year,0,.78119999,.79566071345289,.0114084,32700,27968,.8078,.055,.0342,.0236,.0038,.0005,.0225,.049,.0036
1012,Four-year,Nonprofit 4-year,0,.68000001,.81916440804673,.021921599,26900,1321,.7858000000000001,.1391,.0213,.0253,.0032,0,.0119,.0119,.0016
1013,Two-year,Public 2-year,0,.229,.98623890334287,.035968799,14700,6567,.6533,.1779,.0643,.0201,.014,.0002,.0527,.0089,.0085
1015,Two-year,Public 2-year,0,.1884,.93390412378333,.0271901,16900,1331,.6399,.2325,.0583,.015,.011,.0039,.0339,0,.0055
1016,Four-year,Public 4-year,0,.4571,1.00563316247361,.066873997,23400,6303,.734,.1441,.0305,.0064,.008,.0003,.0279,.0373,.0115
1017,Two-year,Public 2-year,1,.2133,0,0,14100,3644,.7056,.1905,.0388,.0063,.0058,.0007,.0294,.0219,.001
1018,Two-year,Public 2-year,0,.2483,0,0,14200,3304,.6188,.3057,.036,.0112,.0043,.0011,.0206,0,.0024
1019,Four-year,Nonprofit 4-year,0,.42910001,1.0642030357527,.069540799,25900,990,.6503,.2171,.0557,.0093,.0074,.0009,.0417,.0009,.0167
1020,Four-year,Public 4-year,0,.42469999,1.12205282398865,.062994398,21000,6977,.7182999999999999,.1866,.0084,.0067,.0055,.0005,0,.0189,.0551
1022,Two-year,Public 2-year,0,.096900001,.90232065276054,.0251988,16300,5727,.6353000000000001,.2337,.0529,.0174,.004,.0009,.0311,.0242,.0004
1023,Four-year,Nonprofit 4-year,0,.34670001,1.04672371597721,.1202538,13600,261,.6988,.2008,.0232,.0039,.0232,.0039,.0039,0,.0425
1024,Four-year,Public 4-year,0,.3123,1.22274487601009,.054053999,22900,4274,.4326,.4312,.0191,.0033,.0042,.0005,.0274,.0497,.0321
1028,Four-year,Nonprofit 4-year,1,.2421,1.30100683179895,.1027305,15300,1604,.033,.9482999999999999,.0078,0,.0006,0,.0097,0,.0006
